size,hour
30,202505100118
27,202505100218
24,202505100318
22,202505100418
21,202505100518
22,202505100618
22,202505100718
22,202505100818
25,202505100918
26,202505101018
29,202505101118
36,202505101218
37,202505101318
39,202505101418
39,202505101518
36,202505101618
35,202505101718
34,202505101818
33,202505101918
32,202505102018
37,202505102118
30,202505102218
29,202505102318
29,202505110018
28,202505110118
26,202505110218
24,202505110318
21,202505110418
19,202505110518
20,202505110618
21,202505110718
22,202505110818
26,202505110918
26,202505111018
29,202505111118
33,202505111218
35,202505111318
40,202505111418
39,202505111518
38,202505111618
36,202505111718
35,202505111818
34,202505111918
33,202505112018
31,202505112118
30,202505112218
28,202505112318
27,202505120018
26,202505120118
26,202505120218
22,202505120318
21,202505120418
22,202505120518
22,202505120618
23,202505120718
24,202505120818
26,202505120918
30,202505121018
34,202505121118
39,202505121218
42,202505121318
45,202505121418
44,202505121518
43,202505121618
42,202505121718
40,202505121818
39,202505121918
38,202505122018
36,202505122118
34,202505122218
33,202505122318
31,202505130018
29,202505130118
27,202505130218
25,202505130318
22,202505130418
24,202505130518
23,202505130618
23,202505130718
25,202505130818
26,202505130918
30,202505131018
35,202505131118
40,202505131218
43,202505131318
45,202505131418
45,202505131518
43,202505131618
42,202505131718
42,202505131818
43,202505131918
41,202505132018
38,202505132118
35,202505132218
33,202505132318
31,202505140018
30,202505140118
28,202505140218
26,202505140318
23,202505140418
24,202505140518
24,202505140618
23,202505140718
25,202505140818
26,202505140918
30,202505141018
35,202505141118
40,202505141218
43,202505141318
18,202505141418
45,202505141518
44,202505141618
42,202505141718
41,202505141818
40,202505141918
39,202505142018
37,202505142118
34,202505142218
33,202505142318
32,202505150018
31,202505150118
28,202505150218
26,202505150318
23,202505150418
23,202505150518
23,202505150618
24,202505150718
25,202505150818
26,202505150918
30,202505151018
35,202505151118
40,202505151218
43,202505151318
45,202505151418
44,202505151518
43,202505151618
42,202505151718
41,202505151818
42,202505151918
40,202505152018
37,202505152118
34,202505152218
32,202505152318
31,202505160018
30,202505160118
28,202505160218
26,202505160318
23,202505160418
24,202505160518
23,202505160618
24,202505160718
25,202505160818
27,202505160918
31,202505161018
35,202505161118
40,202505161218
43,202505161318
46,202505161418
46,202505161518
44,202505161618
42,202505161718
41,202505161818
39,202505161918
39,202505162018
36,202505162118
34,202505162218
32,202505162318
31,202505170018
29,202505170118
27,202505170218
24,202505170318
21,202505170418
21,202505170518
22,202505170618
23,202505170718
23,202505170818
23,202505170918
25,202505171018
29,202505171118
33,202505171218
36,202505171318
38,202505171418
39,202505171518
37,202505171618
37,202505171718
35,202505171818
39,202505171918
38,202505172018
35,202505172118
34,202505172218
30,202505172318
28,202505180018
27,202505180118
25,202505180218
23,202505180318
20,202505180418
19,202505180518
20,202505180618
21,202505180718
22,202505180818
23,202505180918
25,202505181018
29,202505181118
32,202505181218
36,202505181318
39,202505181418
39,202505181518
37,202505181618
37,202505181718
35,202505181818
34,202505181918
35,202505182018
34,202505182118
32,202505182218
30,202505182318
29,202505190018
28,202505190118
26,202505190218
24,202505190318
21,202505190418
22,202505190518
22,202505190618
23,202505190718
24,202505190818
26,202505190918
29,202505191018
33,202505191118
38,202505191218
42,202505191318
44,202505191418
44,202505191518
42,202505191618
41,202505191718
40,202505191818
40,202505191918
38,202505192018
36,202505192118
28,202505192218
30,202505192318
29,202505200118
27,202505200218
25,202505200318
22,202505200418
24,202505200518
23,202505200618
24,202505200718
24,202505200818
26,202505200918
30,202505201018
34,202505201118
39,202505201218
43,202505201318
46,202505201418
46,202505201518
19,202505201618
39,202505201718
42,202505201818
40,202505201918
40,202505202018
37,202505202118
34,202505202218
32,202505202318
31,202505210018
30,202505210118
28,202505210218
25,202505210318
23,202505210418
24,202505210518
23,202505210618
23,202505210718
24,202505210818
27,202505210918
30,202505211018
35,202505211118
40,202505211218
44,202505211318
45,202505211418
45,202505211518
43,202505211618
42,202505211718
41,202505211818
41,202505211918
40,202505212018
37,202505212118
34,202505212218
31,202505212318
31,202505220018
30,202505220118
28,202505220218
26,202505220318
22,202505220418
24,202505220518
23,202505220618
23,202505220718
24,202505220818
26,202505220918
30,202505221018
35,202505221118
39,202505221218
43,202505221318
45,202505221418
45,202505221518
42,202505221618
41,202505221718
40,202505221818
40,202505221918
39,202505222018
36,202505222118
33,202505222218
31,202505222318
30,202505230018
29,202505230118
27,202505230218
26,202505230318
23,202505230418
24,202505230518
23,202505230618
24,202505230718
25,202505230818
27,202505230918
30,202505231018
36,202505231118
41,202505231218
44,202505231318
45,202505231418
45,202505231518
43,202505231618
41,202505231718
40,202505231818
39,202505231918
37,202505232018
35,202505232118
32,202505232218
30,202505232318
29,202505240018
27,202505240118
26,202505240218
23,202505240318
21,202505240418
20,202505240518
21,202505240618
22,202505240718
22,202505240818
23,202505240918
26,202505241018
29,202505241118
45,202505241218
52,202505241318
48,202505241418
42,202505241518
39,202505241618
37,202505241718
35,202505241818
33,202505241918
32,202505242018
32,202505242118
30,202505242218
28,202505242318
28,202505250018
26,202505250118
25,202505250218
23,202505250318
20,202505250418
20,202505250518
21,202505250618
22,202505250718
23,202505250818
23,202505250918
26,202505251018
29,202505251118
33,202505251218
37,202505251318
39,202505251418
38,202505251518
38,202505251618
36,202505251718
35,202505251818
34,202505251918
33,202505252018
31,202505252118
30,202505252218
28,202505252318
28,202505260018
27,202505260118
26,202505260218
24,202505260318
22,202505260418
23,202505260518
22,202505260618
23,202505260718
24,202505260818
26,202505260918
28,202505261018
33,202505261118
36,202505261218
40,202505261318
42,202505261418
41,202505261518
40,202505261618
38,202505261718
37,202505261818
36,202505261918
34,202505262018
33,202505262118
31,202505262218
29,202505262318
28,202505270018
27,202505270118
25,202505270218
23,202505270318
21,202505270418
23,202505270518
23,202505270618
23,202505270718
23,202505270818
26,202505270918
29,202505271018
34,202505271118
38,202505271218
41,202505271318
42,202505271418
42,202505271518
41,202505271618
40,202505271718
39,202505271818
38,202505271918
37,202505272018
36,202505272118
33,202505272218
32,202505272318
