size,hour
38,202503031816
37,202503031916
35,202503032016
34,202503032116
31,202503032216
26,202503032316
25,202503040016
24,202503040116
24,202503040216
25,202503040316
26,202503040416
28,202503040516
31,202503040616
37,202503040716
42,202503040816
47,202503040916
49,202503041016
49,202503041116
49,202503041216
48,202503041316
47,202503041416
47,202503041516
46,202503041616
44,202503041716
40,202503041816
37,202503041916
37,202503042016
43,202503042116
39,202503042216
30,202503042316
26,202503050016
24,202503050116
24,202503050216
24,202503050316
25,202503050416
27,202503050516
32,202503050616
36,202503050716
42,202503050816
46,202503050916
47,202503051016
47,202503051116
46,202503051216
52,202503041931
52,202503042055
50,202503042155
46,202503042255
42,202503042355
41,202503050055
45,202503050155
46,202503050255
36,202503050355
29,202503050455
28,202503050555
26,202503050655
26,202503050755
27,202503050855
29,202503050955
33,202503051055
39,202503051155
45,202503051255
50,202503051355
53,202503051455
52,202503051555
52,202503051655
51,202503051755
52,202503051855
51,202503051955
49,202503052055
47,202503052155
43,202503052255
40,202503052355
39,202503060055
38,202503060155
35,202503060255
30,202503060355
26,202503060455
26,202503060555
25,202503060655
27,202503060755
28,202503060855
29,202503060955
34,202503061055
39,202503061155
46,202503061255
52,202503061355
54,202503061455
56,202503061555
55,202503061655
53,202503061755
52,202503061855
52,202503061955
51,202503062055
49,202503062155
45,202503062255
43,202503062355
40,202503070055
38,202503070155
37,202503070255
31,202503070355
27,202503070455
27,202503070555
27,202503070655
28,202503070755
28,202503070855
30,202503070955
34,202503071055
40,202503071155
31,202503071255
52,202503071455
53,202503071555
54,202503071655
52,202503071755
49,202503071855
49,202503071955
47,202503072055
45,202503072155
42,202503072255
39,202503072355
37,202503080055
35,202503080155
33,202503080255
28,202503080355
25,202503080455
23,202503080555
24,202503080655
25,202503080755
26,202503080855
27,202503080955
29,202503081055
33,202503081155
37,202503081255
42,202503081355
46,202503081455
47,202503081555
46,202503081655
44,202503081755
43,202503081855
41,202503081955
41,202503082055
39,202503082155
37,202503082255
36,202503082355
35,202503090055
33,202503090155
31,202503090255
27,202503090355
24,202503090455
22,202503090555
23,202503090655
24,202503090755
25,202503090855
26,202503090955
29,202503091055
33,202503091155
37,202503091255
41,202503091355
44,202503091455
45,202503091555
45,202503091655
44,202503091755
42,202503091855
41,202503091955
41,202503092055
40,202503092155
38,202503092255
36,202503092355
35,202503100055
32,202503100155
30,202503100255
25,202503100355
21,202503100455
22,202503100555
23,202503100655
24,202503100755
27,202503100855
35,202503100955
34,202503101055
40,202503101155
46,202503101255
31,202503101355
62,202503101455
69,202503101555
61,202503101655
57,202503101755
53,202503101855
49,202503101955
50,202503102055
48,202503102155
45,202503102255
42,202503102355
39,202503110055
37,202503110155
34,202503110255
28,202503110355
24,202503110455
25,202503110555
25,202503110655
27,202503110755
31,202503110855
34,202503110955
40,202503111055
46,202503111155
51,202503111255
56,202503111355
57,202503111455
55,202503111555
53,202503111655
52,202503111755
52,202503111855
52,202503111955
51,202503112055
49,202503112155
46,202503112255
42,202503112355
40,202503120055
38,202503120155
34,202503120255
28,202503120355
24,202503120455
25,202503120555
25,202503120655
27,202503120755
29,202503120855
32,202503120955
37,202503121055
44,202503121155
48,202503121255
52,202503121355
54,202503121455
52,202503121555
52,202503121655
50,202503121755
50,202503121855
14,202503121955
49,202503122055
48,202503122155
44,202503122255
41,202503122355
39,202503130055
36,202503130155
33,202503130255
27,202503130355
3.7,202503130455
2.4,202503130555
25,202503130655
26,202503130755
29,202503130855
32,202503130955
38,202503131055
45,202503131155
51,202503131255
52,202503131355
55,202503131455
53,202503131555
52,202503131655
52,202503131755
50,202503131855
50,202503131955
49,202503132055
48,202503132155
49,202503132255
46,202503132355
42,202503140055
39,202503140155
36,202503140255
29,202503140355
26,202503140455
26,202503140555
28,202503140655
27,202503140755
31,202503140855
34,202503140955
39,202503141055
46,202503141155
51,202503141255
55,202503141355
57,202503141455
56,202503141555
53,202503141655
51,202503141755
51,202503141855
50,202503141955
51,202503142055
48,202503142155
45,202503142255
41,202503142355
33,202503170055
30,202503170155
28,202503170255
23,202503170355
21,202503170455
22,202503170555
22,202503170655
24,202503170755
26,202503170855
30,202503170955
35,202503171055
41,202503171155
45,202503171255
49,202503171355
52,202503171455
50,202503171555
50,202503171655
48,202503171755
47,202503171855
48,202503171955
46,202503172055
45,202503172155
42,202503172255
39,202503172355
34,202503160055
31,202503160155
29,202503160255
26,202503160355
23,202503160455
21,202503160555
22,202503160655
23,202503160755
25,202503160855
27,202503160955
30,202503161055
35,202503161155
40,202503161255
44,202503161355
46,202503161455
45,202503161555
44,202503161655
44,202503161755
43,202503161855
42,202503161955
42,202503162055
41,202503162155
37,202503162255
35,202503162355
38,202503150055
35,202503150155
31,202503150255
26,202503150355
23,202503150455
22,202503150555
23,202503150655
24,202503150755
26,202503150855
27,202503150955
31,202503151055
36,202503151155
42,202503151255
44,202503151355
47,202503151455
46,202503151555
45,202503151655
14,202503151855
41,202503151955
41,202503152055
39,202503152155
38,202503152255
36,202503152355
37,202503180055
34,202503180155
30,202503180255
25,202503180355
22,202503180455
24,202503180555
23,202503180655
26,202503180755
27,202503180855
23,202503180955
50,202503181355
52,202503181455
51,202503181555
51,202503181655
50,202503181755
49,202503181855
48,202503181955
47,202503182055
44,202503182155
43,202503182255
40,202503182355
36,202503181055
38,202503190055
35,202503190155
32,202503190255
26,202503190355
22,202503190455
24,202503190555
24,202503190655
26,202503190755
28,202503190855
32,202503190955
14,202503191055
39,202503191121
44,202503191221
49,202503191321
51,202503191421
51,202503191521
50,202503191621
49,202503191721
48,202503191821
47,202503191921
46,202503192021
45,202503192121
44,202503192221
40,202503192321
38,202503200021
36,202503200121
33,202503200221
28,202503200321
24,202503200421
23,202503200521
23,202503200621
25,202503200721
27,202503200821
29,202503200921
33,202503201021
39,202503201121
45,202503201221
49,202503201321
52,202503201421
52,202503201521
26,202503201621
49,202503201721
49,202503201821
47,202503201921
48,202503202021
46,202503202121
44,202503202221
41,202503202321
39,202503210021
36,202503210121
33,202503210221
29,202503210321
24,202503210421
23,202503210521
23,202503210621
25,202503210721
27,202503210821
30,202503210921
34,202503211021
39,202503211121
45,202503211221
49,202503211321
51,202503211421
53,202503211521
10,202503211621
49,202503211721
47,202503211821
47,202503211921
45,202503212021
33,202503212121
39,202503212221
40,202503212321
37,202503220021
36,202503220121
33,202503220221
29,202503220321
24,202503220421
21,202503220521
22,202503220621
23,202503220721
25,202503220821
26,202503220921
28,202503221021
34,202503221121
38,202503221221
42,202503221321
45,202503221421
45,202503221521
44,202503221621
42,202503221721
41,202503221821
40,202503221921
39,202503222021
39,202503222121
37,202503222221
36,202503222321
34,202503230021
32,202503230121
30,202503230221
25,202503230321
23,202503230421
20,202503230521
22,202503230621
22,202503230721
25,202503230821
26,202503230921
30,202503231021
32,202503231121
36,202503231221
40,202503231321
44,202503231421
45,202503231521
44,202503231621
43,202503231721
42,202503231821
41,202503231921
40,202503232021
40,202503232121
38,202503232221
36,202503232321
34,202503240021
32,202503240121
30,202503240221
26,202503240321
22,202503240421
22,202503240521
21,202503240621
23,202503240721
25,202503240821
27,202503240921
31,202503241021
37,202503241121
43,202503241221
46,202503241321
49,202503241421
50,202503241521
49,202503241621
48,202503241721
47,202503241821
48,202503241921
48,202503242021
45,202503242121
45,202503242221
36,202503242321
36,202503250121
33,202503250221
29,202503250321
24,202503250421
24,202503250521
23,202503250621
24,202503250721
26,202503250821
29,202503250921
33,202503251021
39,202503251121
45,202503251221
50,202503251321
52,202503251421
